item_id,word,word_clean,word_english,category,category_english,questionnaire,raw_column_8_18,raw_column_19_36,is_duplicate_raw_column,notes,in_8_18,in_19_36
item_0001,इश/आह/उह (दर्द),इश/आह/उह (दर्द),ouch/ah/uh (pain sound),ध्वनि प्रभाव और जानवरों की आवाज़,sound effects and animal sounds,8_18;19_36,इश/आह/उह (दर्द),इश/आह/उह (दर्द),False,,True,True
item_0002,कू कू,कू कू,coo-coo,ध्वनि प्रभाव और जानवरों की आवाज़,sound effects and animal sounds,8_18;19_36,कू कू ,कू कू ,False,,True,True
item_0003,छुक-छुक (ट्रेन की आवाज़),छुक-छुक (ट्रेन की आवाज़),choo-choo (train sound),ध्वनि प्रभाव और जानवरों की आवाज़,sound effects and animal sounds,8_18;19_36,छुक-छुक (ट्रेन की आवाज़),छुक-छुक(ट्रेन की आवाज़),False,,True,True
item_0004,पिप पिप (कार के हार्न का शोर),पिप पिप (कार के हार्न का शोर),beep-beep (car horn),ध्वनि प्रभाव और जानवरों की आवाज़,sound effects and animal sounds,8_18;19_36,पिप पिप (कार के हार्न का शोर),पिप पिप (कार के हार्न का शोर),False,,True,True
item_0005,भों भों,भों भों,woof-woof,ध्वनि प्रभाव और जानवरों की आवाज़,sound effects and animal sounds,8_18;19_36,भों भों  ,भों भों  ,False,,True,True
item_0006,मियाऊँ,मियाऊँ,meow,ध्वनि प्रभाव और जानवरों की आवाज़,sound effects and animal sounds,8_18;19_36,मियाऊँ,मियाऊँ,False,,True,True
item_0007,मेह मेह (बकरी की आवाज),मेह मेह (बकरी की आवाज),baa (goat sound),ध्वनि प्रभाव और जानवरों की आवाज़,sound effects and animal sounds,8_18;19_36,मेह मेह (बकरी की आवाज) ,मेह मेह (बकरी की आवाज) ,False,,True,True
item_0008,मो (गाय की आवाज),मो (गाय की आवाज),moo (cow sound),ध्वनि प्रभाव और जानवरों की आवाज़,sound effects and animal sounds,8_18;19_36,मो (गाय की आवाज) ,मो (गाय की आवाज) ,False,,True,True
item_0009,क्रिंग क्रिंग (साइकिल का शोर घंटी),क्रिंग क्रिंग (साइकिल का शोर घंटी),ring-ring (bicycle bell),ध्वनि प्रभाव और जानवरों की आवाज़,sound effects and animal sounds,19_36,,क्रिंग क्रिंग (साइकिल का शोर घंटी) ,False,,False,True
item_0010,दररर -(कार की आवाज),दररर -(कार की आवाज),vroom/car sound,ध्वनि प्रभाव और जानवरों की आवाज़,sound effects and animal sounds,19_36,,दररर -(कार की आवाज),False,,False,True
item_0011,हा हा (हँसी),हा हा (हँसी),ha-ha/laughter,ध्वनि प्रभाव और जानवरों की आवाज़,sound effects and animal sounds,19_36,,हा हा (हँसी) ,False,,False,True
item_0012,कबूतर,कबूतर,pigeon,जानवरों के नाम (असली या खिलौना जानवर),animal names,8_18;19_36,कबूतर ,कबूतर ,False,,True,True
item_0013,कीड़ा,कीड़ा,insect/bug,जानवरों के नाम (असली या खिलौना जानवर),animal names,8_18;19_36,कीड़ा ,कीड़ा ,False,,True,True
item_0014,कुत्ता,कुत्ता,dog,जानवरों के नाम (असली या खिलौना जानवर),animal names,8_18;19_36,कुत्ता ,कुत्ता ,False,,True,True
item_0015,खरगोश,खरगोश,rabbit,जानवरों के नाम (असली या खिलौना जानवर),animal names,8_18;19_36,खरगोश ,खरगोश ,False,,True,True
item_0016,गाय,गाय,cow,जानवरों के नाम (असली या खिलौना जानवर),animal names,8_18;19_36,गाय ,गाय ,False,,True,True
item_0017,चूहा,चूहा,mouse/rat,जानवरों के नाम (असली या खिलौना जानवर),animal names,8_18;19_36,चूहा ,चूहा ,False,,True,True
item_0018,छिपकली,छिपकली,lizard,जानवरों के नाम (असली या खिलौना जानवर),animal names,8_18;19_36,छिपकली ,छिपकली ,False,,True,True
item_0019,जानवर,जानवर,animal,जानवरों के नाम (असली या खिलौना जानवर),animal names,8_18;19_36,जानवर ,जानवर ,False,,True,True
item_0020,टेडी बियर,टेडी बियर,teddy bear,जानवरों के नाम (असली या खिलौना जानवर),animal names,8_18;19_36,टेडी बियर ,टेडी बियर ,True,,True,True
item_0021,तितली,तितली,butterfly,जानवरों के नाम (असली या खिलौना जानवर),animal names,8_18;19_36,तितली,तितली,False,,True,True
item_0022,तोता,तोता,parrot,जानवरों के नाम (असली या खिलौना जानवर),animal names,8_18;19_36,तोता ,तोता ,False,,True,True
item_0023,बंदर,बंदर,monkey,जानवरों के नाम (असली या खिलौना जानवर),animal names,8_18;19_36,बंदर ,बंदर ,False,,True,True
item_0024,बकरा,बकरा,goat,जानवरों के नाम (असली या खिलौना जानवर),animal names,8_18;19_36,बकरा ,बकरा ,False,,True,True
item_0025,बिल्ली,बिल्ली,cat,जानवरों के नाम (असली या खिलौना जानवर),animal names,8_18;19_36,बिल्ली ,बिल्ली ,False,,True,True
item_0026,बैल,बैल,bull/ox,जानवरों के नाम (असली या खिलौना जानवर),animal names,8_18;19_36,बैल ,बैल ,False,,True,True
item_0027,भैंस,भैंस,buffalo,जानवरों के नाम (असली या खिलौना जानवर),animal names,8_18;19_36,भैंस ,भैंस ,False,,True,True
item_0028,मक्खी,मक्खी,fly,जानवरों के नाम (असली या खिलौना जानवर),animal names,8_18;19_36,मक्खी ,मक्खी ,False,,True,True
item_0029,मच्छर,मच्छर,mosquito,जानवरों के नाम (असली या खिलौना जानवर),animal names,8_18;19_36,मच्छर ,मच्छर ,False,,True,True
item_0030,मछली,मछली,fish,जानवरों के नाम (असली या खिलौना जानवर),animal names,8_18;19_36,मछली ,मछली ,True,,True,True
item_0031,मुर्गा,मुर्गा,rooster,जानवरों के नाम (असली या खिलौना जानवर),animal names,8_18;19_36,मुर्गा ,मुर्गा ,False,,True,True
